"files","basin","event.size.mm"
"Cdata_id_08176900.mat","08176900",10.8447591711726
"Cdata_id_08189500.mat","08189500",8.6454511370608
"Cdata_id_08190000.mat","08190000",9.36289349268342
"Cdata_id_08190500.mat","08190500",9.95322418854657
"Cdata_id_08194200.mat","08194200",9.70117729254784
"Cdata_id_08195000.mat","08195000",11.1570255990486
"Cdata_id_08196000.mat","08196000",12.3503720825407
"Cdata_id_08198500.mat","08198500",10.2065860957009
"Cdata_id_08200000.mat","08200000",11.4265924721508
"Cdata_id_08202700.mat","08202700",10.1446872594799
"Cdata_id_08267500.mat","08267500",7.51665380874612
"Cdata_id_08269000.mat","08269000",6.68839828239002
"Cdata_id_08271000.mat","08271000",8.23339392224145
"Cdata_id_08324000.mat","08324000",5.65233518978523
"Cdata_id_08377900.mat","08377900",8.28627590729497
"Cdata_id_08378500.mat","08378500",7.24477924952188
"Cdata_id_08380500.mat","08380500",7.24485655214233
"Cdata_id_09034900.mat","09034900",7.28213653471646
"Cdata_id_09035800.mat","09035800",6.86052429638793
"Cdata_id_09035900.mat","09035900",6.07106537219507
"Cdata_id_09047700.mat","09047700",5.58150135868089
"Cdata_id_09065500.mat","09065500",7.11140654163672
"Cdata_id_09066000.mat","09066000",5.85469907862704
"Cdata_id_09066200.mat","09066200",7.84221414846732
"Cdata_id_09066300.mat","09066300",7.27234338877283
"Cdata_id_09081600.mat","09081600",6.66516632053463
"Cdata_id_09210500.mat","09210500",4.32678209944559
"Cdata_id_09223000.mat","09223000",5.46813311944551
"Cdata_id_09306242.mat","09306242",6.79248565075342
"Cdata_id_09312600.mat","09312600",5.70427165940664
"Cdata_id_09352900.mat","09352900",6.73973854006235
"Cdata_id_09378630.mat","09378630",9.62696650101369
"Cdata_id_09386900.mat","09386900",7.06186888187891
"Cdata_id_09404450.mat","09404450",6.96072524859554
"Cdata_id_09430500.mat","09430500",4.68836551682314
"Cdata_id_09430600.mat","09430600",8.25892291297205
"Cdata_id_09480000.mat","09480000",8.11944622387405
"Cdata_id_09492400.mat","09492400",8.51164758462468
"Cdata_id_09494000.mat","09494000",6.11890879100571
"Cdata_id_09497980.mat","09497980",8.35290432016597
"Cdata_id_09505350.mat","09505350",8.03859029771011
"Cdata_id_09505800.mat","09505800",7.71746607234209
"Cdata_id_09508300.mat","09508300",9.72871604514826
"Cdata_id_09510200.mat","09510200",8.71675508435727
"Cdata_id_09512280.mat","09512280",9.91347599076894
"Cdata_id_09513780.mat","09513780",9.6053161311434
"Cdata_id_10172700.mat","10172700",7.67507246594837
"Cdata_id_10172800.mat","10172800",10.1110183415248
"Cdata_id_10173450.mat","10173450",6.66701691823066
"Cdata_id_10205030.mat","10205030",6.58019247757788
"Cdata_id_10234500.mat","10234500",7.98729934916745
"Cdata_id_10242000.mat","10242000",7.83098007738284
"Cdata_id_10244950.mat","10244950",8.4623761277732
"Cdata_id_10249300.mat","10249300",9.04930151610248
"Cdata_id_10258500.mat","10258500",11.280631477422
"Cdata_id_10259000.mat","10259000",16.9239981447584
"Cdata_id_10259200.mat","10259200",14.6301391799487
"Cdata_id_10263500.mat","10263500",18.2256042080717
"Cdata_id_10316500.mat","10316500",10.5964093589736
"Cdata_id_10329500.mat","10329500",6.52196443226501
"Cdata_id_10336660.mat","10336660",17.1812873275335
"Cdata_id_10343500.mat","10343500",12.4565495864248
"Cdata_id_10396000.mat","10396000",6.92077361881716
"Cdata_id_11098000.mat","11098000",19.1606868192664
"Cdata_id_11124500.mat","11124500",18.4087206021005
"Cdata_id_11141280.mat","11141280",14.0830053514544
"Cdata_id_11143000.mat","11143000",16.6773509501418
"Cdata_id_11148900.mat","11148900",13.3756473860229
"Cdata_id_11151300.mat","11151300",8.69898158220048
"Cdata_id_11162500.mat","11162500",13.9870530615749
"Cdata_id_11176400.mat","11176400",7.50708055002519
"Cdata_id_11180500.mat","11180500",8.39356200673628
"Cdata_id_11180960.mat","11180960",9.00994352543305
"Cdata_id_11224500.mat","11224500",10.2162350491764
"Cdata_id_11230500.mat","11230500",10.1300388090182
"Cdata_id_11237500.mat","11237500",17.1422352331242
"Cdata_id_11253310.mat","11253310",10.2157272548153
"Cdata_id_11264500.mat","11264500",11.6908093160601
"Cdata_id_11266500.mat","11266500",11.603619730254
"Cdata_id_11274500.mat","11274500",6.38178511551062
"Cdata_id_11274630.mat","11274630",6.99947791427313
"Cdata_id_11284400.mat","11284400",15.7724284304677
"Cdata_id_11381500.mat","11381500",13.3604879478887
"Cdata_id_11383500.mat","11383500",14.2573437051392
"Cdata_id_11451100.mat","11451100",14.0123277890504
"Cdata_id_11468500.mat","11468500",14.4883344378079
"Cdata_id_11473900.mat","11473900",12.8846769055757
"Cdata_id_11475560.mat","11475560",21.6579154317726
"Cdata_id_11476600.mat","11476600",17.4631740168433
"Cdata_id_11478500.mat","11478500",16.2516407644897
"Cdata_id_11480390.mat","11480390",16.0510605276455
"Cdata_id_11481200.mat","11481200",13.3770122768971
"Cdata_id_11482500.mat","11482500",12.7511065895295
"Cdata_id_11522500.mat","11522500",10.0130632209781
"Cdata_id_11523200.mat","11523200",10.1285918435105
"Cdata_id_11528700.mat","11528700",12.850209941887
"Cdata_id_11532500.mat","11532500",14.9621729206544
"Cdata_id_12010000.mat","12010000",13.8006831119325
"Cdata_id_12013500.mat","12013500",11.8609099745308
"Cdata_id_12020000.mat","12020000",13.2076866686367
"Cdata_id_12025700.mat","12025700",9.76362908796154
"Cdata_id_12035000.mat","12035000",13.5811204442508
"Cdata_id_12040500.mat","12040500",15.081581755892
"Cdata_id_12041200.mat","12041200",15.1102672324739
"Cdata_id_12048000.mat","12048000",13.6275870737319
"Cdata_id_12054000.mat","12054000",15.7144022006244
"Cdata_id_12056500.mat","12056500",16.8321929925663
"Cdata_id_12073500.mat","12073500",8.99823721198544
"Cdata_id_12082500.mat","12082500",13.4816477413562
"Cdata_id_12092000.mat","12092000",13.766089164702
"Cdata_id_12114500.mat","12114500",14.2687516479472
